,Остаток на начало месяца
,
,
"Антипан. PHA 2501 арт.446230101 (серый) рычаг д/сплош,",6
Антипаника PHA 2501 арт.230104 (нержав.) ( рычаги),2
Антипаника PHA 2560 VB арт 6223304,2
Антипаника PHA 2570 VB арт 6240304,2
Броненакладка Protector Pro 50/27 золото,1
Броненакладка врезная для цилиндра Securemme 25мм мат.хром,0
Вставка для цил.накл. Апекс DP-C-BLM черный,0
Глазок APECS 3016/70-110-G-золото,1
Глазок дв. Аверс 2216/75-135-черный,42
Глазок дверной Apecs 1516/70-130-BLM квадратная,1
Глазок дверной ARMADILLO DY/PRO 3/100-60/Z мат.ник,0
Глазок дверной ARMADILLO DY/PRO 3/100-60/В хром,0
Глазок п/пожарная дверная лат.хром FP,1
Глазок дверной п/пож.АВЕРС 4014/45-75-хром,0
Девиатор Гардиан100,1
Доводчик дверной Vanger DC-85-SL ( серебро),18
Доводчик Notedo DC025-095 (серебро),24
Доводчик Notedo DC045-155 (белый),8
Доводчик Notedo DC055 IN+HO (серебро),4
Доводчик дверной NOTEDO DC-080 cеребро,60
Доводчик дверной NOTEDO DC-080 черный,49
Доводчик дверной NOTEDO DC-088 CAMMODE серебро,0
"Доводчик дверной NOTEDO DC-150 легкий характер, серебро",4
Доводчик ASSA ABLOI DC-140,1
Доводчик ASSA Abloy DC-500,22
Доводчик ASSA ABLOY DC-840,2
Доводчик ASSA ABLOI ДС-860,2
Доводчик Dormakaba Silver P600 TS MATCH,13
"Доводчик ТS93 В ВС+DC EN 2-5,RAL9005",4
"Доводчик ТS93 В В EN 2-5,серый арт.043020001",1
Доводчик TS90 Impulse серый арт.010200401,87
Доводчик TS90 Impulse черный,40
Ев/цилиндр с вертушкой Dorma CBF-1 80 (40*40)-никель,3
Ев/цилиндр Dorma CBF-1 80 (35*45)-никель,22
Ев/цилиндр Dorma CBР-1 100 (45*55)-никель,60
ЕD 100 привод распашной двери арт.29222311,2
"ЕD базовая крышка ,серая арт.29241001",2
ЕD VARIO крышка 2200мм серая арт.29242001,1
ED Стандартная тяга 225 мм арт.29271021,2
Завертка NL Black,4
Заглушка квад.80*80 внутрен. Плоская белая эконом,30
Заглушка под противосьем Ф24 черный,400
Заглушка под противосьем Ф25 Т черный,180
Заглушка для труб квадрат. 60*60мм,0
Заглушка для автопорогов МИНИ,0
Задвижка врезная Apecs L 0260 хром,2
Замок Apecs 5300Р-NIS,30
Замок межкомн. Apecs 5300-WC-NI,35
Замок 170/WC 78/55/8/8 F =20скр+отв.планка под фиксатор,33
Замок 170/WZ 72/55/8/8 F =20скр,81
Замок Geqe 170 PZ 72/55/8 F под цилиндр,300
Замок Geqe ERGO PZ 72/55/8 F под цилиндр с пластиковым язычком,500
Замок врезной Apecs 30-R-CR,2
Замок Гардиан 20.01 Т,1
Замок Гардиан 20.02 никель,2
Замок Гардиан 22.12 Т,1
Замок Гардиан 25.12 под цилиндр (без упаковки),1
Замок Гардиан 100.11Т,1
Замок Гардиан 102.11Т без цил.,0
"Замок Гардиан 3001 б/накл врезной,сувальдный короткий 4ключа",1
Замок Гардиан 3201 б/накл под цилиндр,3
Замок Гардиан 32.11 п/мех под ручку,18
Замок Гардиан 32.21 п/мех под ручку,0
"Замок врезной Гардиан 33.11 левый п/мех,под ручку",1
"Замок врезной Гардиан 33.11 правый п/мех,под ручку",0
Замок Гардиан72.16ZT без цилиндра,11
Замок Гардиан 75.14,12
Замок Гардиан 75.14 Т 5кл,0
Замок Гардиан серия Profi 351/24,1
Замок Гардиан SOFT 11 M черный,1
Замок Гардиан Soft 11 М Ni под цилиндр,1
Замок магнитный INOX MG9250,48
"Замок электромеханический ISEO (5S-24 шт,5D-17шт)",17
Замок BORDER 42,36
Замок DL401/55 PZ72 Rt реверсивный с запор.планкой,3
Замок DL403/55 WC 75,37
Замок STV серый с магнитной ответ.планкой,20
"Замок с электрон.ручкой с видодомофон,черный",1
Замок Кале 252R,1
Замок врез.двухсистем. 54.J919MJ-D Meu Keu Моттура правый,0
Замок врез.двухсистем. 54.J919MJ-D Meu Keu Моттура левый,0
Замок навесной ЧАЗ ВС2А,2
"Замок врезной BASARA A18-01 R правый,с прямоуг. риге. хром",0
Замок накладной кодовыйRIM-200 code SN мат. Никель (AJAX),0
Замок соленоидного типа с таймером Смартек ST-DB 510 MLT (скуд),2
Замок моторный ISEO 28 X1R EASY с лицевой планкой,0
Защитный чехол с молнией на входные двери,32
Защелка магнитная Гардиан SOFT 1 M никель WC,126
Защелка врезная ЗЩ1-3 (правая),1
Иллюминатор из нерж.ст.ф581*440(мм0,3
ИО 102-15/1(датчик магнито-контактный),3
ИО 102-6 (извещатель магнитоконтактный0 (ГП),107
Извещатель м/контактный ST-DM030NC-WT,10
Извещатель м/контактный ST-DM010NО-WT,10
Кабель 6м от эл.мех.замков EL-420-EL 560,32
Кабель канал KU 480,51
Кабель канал Smartek DORMA,1
Кабель переход КП300,32
"Комплект ручек для калитки+1пара накладок (усиленная,черный)",7
Комплект наж.ручек CORE 8100/6051/6612 толщ.дв.кв. 9мм нерж.,9
Комплект наж.ручек OQRO 8100/7051K PZ/72 толщ.дв.кв. 8мм нерж.,1
Комплект поручни из шлиф.нерж. Стали для дверей,9
Координатор SR 392 650 мм артикул 47000012,31
Координатор G-GSR/V серый арт.064102001,3
Координатор G-GSR/V/ BG серый арт.64144001,4
Координатор ASSA ABLOY FD48 100500(доводчик 2-х ств),12
Координатор Notedo для 2-х створчатых дверей послед.закрыв.,1
Корпус врезного замка цилиндровыйСН-08 (AJAX) + отв планка пришли к замку,1
"Контактная группа АВК-404, цвет: черный, для э/механ. замков",0
Латунь,3
Локтевой выключатель KFT белый,1
Магнитное крепление с отверстием В20,0
Монтажная пластина для КСМ,300
Наж. планка РНА 2105 VB арт. 01421050004 (нержав),49
Наклад. под цил. На круг.основ.Colombo CC13-CO3 мат.черный,20
Накладка вертушка 0203-INOX (для туалета),600
Накладка вертушка Нора-М НФ-К графит,6
Накладка декоративная Apecs DP-15-C-CRS,44
Накладка декор. под цилиндр ABRISS ET2101 сатинир.золото,2
Накладка под цил.Colombo квадрат.СС13 черный,6
Накладка для анг.замкаColombo Rosetta PT13мат.черный,2
Накладка на ручку Apecs DP-0-13-BL,5
Накладка на цилиндр Нора-М графит,109
Накладка стопор Colombo Rosetta PT19 черный,1
Накладка под сувальд.кл. 4300+4000,0
Накладка 4300+4010 декорат.под цилиндр (матовый хром),0
Накладка сувальдные Code Deco DP-22-S-Auto-NIS,2
Накладка цилиндровая CODE DECO DP-C-14- NIS,9
Накладка цилиндровая CODE DECO Slim DP-C-30-BLM,4
Накладка под цм декоративная DP-C-22-BLM мат.черн.,1
Накладка дверная под цилиндр Apecs DP-C-02,19
Накладка дверная под цилиндр Apecs DP-C-06 хром,100
Накладка дверная под цилиндр квадрат.FORME черн.мат.,0
Наконечник для тяг (DL1932),30
Огнестойкий дверн.замок ЕСО GBS 81 нержав.ст.,1
Ограничитель открывания 460мм,1
Ограничитель дверной DS3 SC мат.хром,0
Ответная планка магнитная 3ВМ серая,18
Отв.пл.прям.магнитная для замка MG9235 9250,68
Ответ.планка 020 скр,58
Ответная планка ISEO,71
Ответная пластина нижней тяги PHA2122-0,90
Ответная часть для порогов,0
Переключатель ELBOW Contact Switch белый,1
Петли BORDER бабочка,4735
"Петля скрытая универ.СЕМОМ ESTETIC 130+8 3D 8060мат.хр.,130кг",0
Петли ввертные Apecs,120
Петли Нора-М бабочка,18
Петли скрытые MORELLI серые НН-18 Anselmi с накладками 1-4,153
Петли скрытые MORELLI белые НН-18 Anselmi с накладками 1-4,183
"Петля скрытая Dircode ,черный",2
Петли AMIG,6
Петля врезная Apecs110*30-3D-Z-C RM,2
Петля врезная Apecs115-3D-Z-C RM,2
Петля пружинная маятниковая 155*50мм оцинк.арт.87 (ALDECHI),0
Петля гаражная с шаром 140*25,1
Петля гаражная с шаром 160*25,4
Петля гаражная с шаром 25*110,1
Петли SIMONSWERK ТЕ340-3D серый,40
Петля скрыт.TECTUS TE 541 3D серый (хром матовый),0
Петля скрыт. TECTUS TE 640 3D серый,6
Петля скрытая TECTUS TE 640 3D (окраш.RAL9005)матовый черный,9
Петля скрытая VL Band 180 матовый хром,3
Петля скрытая OTLAV IN570 серебро матовое,0
"Петля скрытая ассиметричная ,для дверей толщиной 38мм,черный",4
Петля IBFM 754 PLA2B,943
Планка лицевая плоская FLM25-Easy Adapt артикул 15180925,1
Планка лицевая плоская FКM25 XS -Easy Adapt артикул 15180937,7
Планка плоская FKМ24 артикул 15180424,2
Планка плоская FKH24 артикул 15180324,63
Планка лицевая плоская FКM25 XS -Easy Adapt 25*135*3,0
Планка заготовка,30
Поворотник Apecs TT-0705-8/75-AB,1
Поворотник ТТ-1403-8/75- NIS CODE DECO,21
Поворотник Apecs TT-1516-8/75-CR,1
Порог автом.п/пожарный (уплотнитель),1
Порог FLAT (12*20)1020mm,1
Порог FORBSA MINI (12*12) 1020mm,0
Програмный переключатель ES внешний арт.135602150,4
Роликовый фиксатор R-0002-CR Apecs,1
Ручка комплект HOPPE E138Z/42KV/KVS PZ F69 под цил. Квад.8мм,16
Ручка дверная стальная 110мм,2
Ручка с фиксатором CodeDeco Y-14105 A-BLM мат.черн.,1
Ручка дверная Code Deko Slim H-30115-A-BLM черный,4
Ручка дверн.в компл Fuaro Red Line Rl SSC-16 черный,74
Ручка дверная на короткой наклад.DL038 /U с отверстием для цилиндра,5
Ручка дверная на розетке DL 040/F-55 PZ L Doоrlock,2
Ручка дверная на круглом розетке 1230 Solaris Q8 R/SB сатин,1
Ручка дверная Нора-М графит 108 КАL,58
Ручка дверная Apecs H-0203-BL(DP-C-02черный),1
Ручка дверная Forme на квад.розетке254 REQ черный,0
Ручка дверная Forme 422 RFQ 51119 матовая бронза,3
Ручка дверная HAFELE Startec LDH 2171,5
Ручка на планке Апекс НР-О-1303-ИНОКС нержав.,1
Ручка на планке PURE 8906/7051 DORMA,32
Ручка раздельная Apecs 0201-INOX хром,13
Ручка раздельная Pyramide Velox-FIX БРОНЗА МАТ.(С 2-МЯ РОЗеТКАМИ 55ММ),0
Ручка раздельная Arena Velox-FIX матовый хром.( 55ММ),0
Ручка дверн.Formani BASICS LB -19 матиров.нерж.ст.,1
Ручка поворот..Formani BASICS LBWC 50 матиров.нерж.ст.,1
Ручка Fratelli Cattini Невада-7 мат.хром,1
Ручка INOX GC 105 на круглых розетках Franfurkt черный,93
Ручка PRESTO 3-16 спец версия,3
Ручка поворотная ВК6.К.ZQ51 BL-24 черный (PUNTO) (41069),0
Щиток LH042,3
Покраска в цвет COLOR charge Mus (черный),3
Синхронизатор закрыв. ЕСО SR-Basis для 2-х створчатой двери Коорд.,3
Скользящая тяга ASSA Abloy G-143,1
Скользящая тяга ASSA Abloy G-195,22
Скользящая тяга ASSA Abloy G-892,17
Соединительный кабель SVP-A 1100 арт.070932992,39
Толкатель ASSA Abloy FD101,13
Удлинитель полный дверного глазка EX DV-1/3 черная пластмас.,635
Удлинитель полный дв.глазка HDVE-14/30,0
Удлиняющий стержень для верхней точки запирания РНА 2160,1
Удлиняющий стержень для нижней точки запирания РНА 2161,2
Уплотнитель двери РГ-031 ( 1 в бабине 120м ),120
Уплотнитель двери РГ-127 ( 1 в бабине 180м ),180
Уплотнитель черный 110/34 Р-образный,0
"Уплотнитель белый 110/3,4",800
Уплотнитель УК-117Ф серый УФ и ОС (ультрафиолето и озоностойкий),185
Уплотнитель самоклеющийся черный Shaper GN 319 (1 по 500м),229
Уплотнитель серый Шпуля,250
"Уплотнитель черный D-профиль,9*8мм(100м)-1шт",100
"Уплотнительный профиль Огракс-П №16(220,0*10,0*3,0*2,0) пог.м",20
"Уплотнитель терморасширяющийся 15*1,5*100000",0
Упор дверной напольн.STOPPER /14(DS-14) (FUARO) черный,1
"Упор дверной DL DS 005 SS,напольный Ф 60мм",2
Упор дверной DS 0014-NIS матовый никель,4
Устройство д/отпечатывания «Ревиласил Макси» черные,4
Удерживающая пластина для ЕМС 600 ALH,4
"М-Сил д/отпечатываемых устройств,21,5*11*2,5мм,белые",218
Фиксатор открытого положения TS90,6
Фиксатор открытого положения для скольз.канала G96N (ФОП),46
Фиксатор открытого положения для скольз.канала G-N (ФОП) комплект,1
Фиксатор Avers WC-1403-Nis -6мм,2
Фиксатор Code Deco WC-2207-CRM/CR,1
Цил.INOX 30*30 поворот. кнопка/мех-зм разблок,41
Цм 60 2201.22.05-60 (30*30) кл/кл под 3-гран.к Apecs,2
Ц/м Vanger EL-60никель кл/верт 25/10/25,12
Ц/м Avers 70 30/40хром25/10/35,7
Ц/м Avers 80 кл/кл 30/50верт,0
Ц/м Avers 80 45 верт/35 кл,1
Ц/м Avers 85 кл/кл 35/50 хром,320
Ц/м Аверс 90 40/50 кл/кл,3
Ц/м Avers 90 45/45 кл/кл хром,3
Ц/М Avers 90 45/45 кл/вертушка хром,8
Ц/м Avers 95 30 верт/65 кл черный,0
ЦМ Аверс 100 (45/55 С) кл/верт хром (45/55кл/верт),1
ЦМ Аверс 120 60/60 кл /верт,0
Цм Apecs SM-110 50/60 кл/кл никель,0
Цм Apecs SM-130(65/65 ) кл/кл,1
Ц/м Apecs Premier XP-100 35/65 кл/кл никель,0
Ц/м Apecs Premier XP-80 35/45 кл/кл никель,6
Ц/м VETTORE 80 30/50 кл/кл (25/10/45),295
Ц/м VETTORE 100 35/65 кл/кл,14
Ц/м VETTORE 100 45/55 кл/кл,32
Ц/м VETTORE 110 55/55 кл/кл,57
Ц/м VETTORE 120 60/60 кл/кл,0
Ц/м Fuaro D-PRO5007-8Tanq 85(50+10+25)-черный,1
"Ц/м STD AL-ЛП-80 (45+35) черный, ключ/ключ",590
Ц/м STD AL-ЛПВ -100 (50/50) черный кл/верт,9
Ц/м STD Z ЛП-110(60/50) хром кл/кл,3
Ц/м STD ЛП-120(60-60) черный кл/кл,13
Ц/м STD ЛП-120(60-60) черный кл/верт,1
"Ц/М Гардиан GB (61/31/60SH)G 5кл. (ключ-шток, цвет: латунь)",1
Шпингалет автоматический HZ43-F24 DIN-L (лев.) арт.015199004,27
Шпингалет автоматический HZ43-F24 DIN-R (прав) арт.015199005,9
Шпингалет Vettore CH 140 Ni,60
"Шпингалет автоматический DL FAB/M200/SSS,дл.хода 16мм,пл.26*171",0
Шток раздельный 8мм/65*65мм для антипаниковых замков,0
Эл.замок SVP 6257,1
Эл.замок SVP 6258,4
Эл.замок SVP 6277,3
Эл.замок SVP 6278,2
Эл.защелка Basic-XS S EA 12VDC HO артикул 15112113,0
Электрозащелка Fire 448,11
Элзащелка д/путей эвак.TV506 (ISO 5) арт.15150624,4
Эл.мех.замок Solenoid Lock 65/24 ABLOI EL 561,33
Эл.мех.соленоидный замок SVA 6273 арт.70010101,5
Эл.мех. замок SVA 6278 арт.70010104,4
Эл.мех.замок SVZ Basic PZDIN бэксет 30мм,82
Эл.мех.замок SVZ 6277/6278,0
Электромагнитный замок AL400SM,4
"Электромагнитный замок влагозащ.IP67 ML-350WS,350кг",0
Эксцентрик цам Z-06,26
Этикетка -наклейка бумажная 400*150,65
ED переключатель,1
"LED-кнопка,стекло",1
"Огнестойкий корпус замка,антипаник РНА 2505 арт.476630101",6
Замок врезной антипаника РНА 2575 арт.476640101,15
Запирающее автомат устройство РНА 2301 арт.478640101,6
Комплект для врезной антипаники РНА 2310 арт.478640501,7
Ответная часть напольная для врез.антипаники РНА 2321 арт.478640801,5
Нижняя направляющая для врезной антипаники РНА 2311 арт.478640601,4
Верхняя ответная часть для врезной антипаники РНА 2322 арт.478640901,16